offline_datapoint_17 1573564201 4,666
offline_datapoint_10 1573564201 99,848
offline_datapoint_29 1573564201 0,000
offline_datapoint_22 1573564201 6509,714
offline_datapoint_4 1573564201 0,001
offline_datapoint_11 1573564206 158944,000
offline_datapoint_5 1573564206 2343,000
offline_datapoint_26 1573564206 255950848,000
offline_datapoint_14 1573564206 248360960,000
offline_datapoint_3 1573564206 8828329984,000
offline_datapoint_9 1573564206 97562624,000
offline_datapoint_25 1573564206 1847,000
offline_datapoint_19 1573564204 0,666
offline_datapoint_8 1573564204 247,689
offline_datapoint_21 1573564206 97562624,000
offline_datapoint_1 1573564204 0,666
offline_datapoint_20 1573564206 4908535808,000
offline_datapoint_7 1573564206 4969029632,000
offline_datapoint_6 1573564204 0,000
offline_datapoint_12 1573564204 2,594
offline_datapoint_24 1573564204 1,951
offline_datapoint_13 1573564204 5269,042
offline_datapoint_18 1573564206 0,000
offline_datapoint_0 1573564204 5929,878
offline_datapoint_16 1573564204 120,182
offline_datapoint_28 1573564204 0,180
offline_datapoint_17 1573564204 5,327
offline_datapoint_10 1573564204 99,750
offline_datapoint_29 1573564204 0,000
offline_datapoint_22 1573564204 12672,000
offline_datapoint_4 1573564204 0,002
offline_datapoint_11 1573564209 158944,000
offline_datapoint_5 1573564209 2341,000
offline_datapoint_26 1573564209 255954944,000
offline_datapoint_14 1573564209 248410112,000
offline_datapoint_3 1573564209 8827670528,000
offline_datapoint_9 1573564209 97583104,000
offline_datapoint_25 1573564209 1846,000
offline_datapoint_19 1573564207 0,000
offline_datapoint_8 1573564207 3028,225
offline_datapoint_21 1573564209 97583104,000
offline_datapoint_1 1573564207 0,000
offline_datapoint_20 1573564209 4909002752,000
offline_datapoint_7 1573564209 4969914368,000
offline_datapoint_6 1573564207 0,000
offline_datapoint_12 1573564207 3,319
offline_datapoint_24 1573564207 2,345
offline_datapoint_13 1573564207 5253,949
offline_datapoint_18 1573564209 0,000
offline_datapoint_0 1573564207 6222,554
offline_datapoint_16 1573564207 216,802
offline_datapoint_28 1573564207 0,375
offline_datapoint_17 1573564207 35,355
offline_datapoint_10 1573564207 99,500
offline_datapoint_29 1573564207 0,667
offline_datapoint_22 1573564207 7467,472
offline_datapoint_4 1573564207 0,004
offline_datapoint_11 1573564212 158944,000
offline_datapoint_5 1573564212 2337,000
offline_datapoint_26 1573564212 255954944,000
offline_datapoint_14 1573564212 248410112,000
offline_datapoint_3 1573564212 8827441152,000
offline_datapoint_9 1573564212 97574912,000
offline_datapoint_25 1573564212 1846,000
offline_datapoint_19 1573564210 0,000
offline_datapoint_8 1573564210 64,658
offline_datapoint_21 1573564212 97574912,000
offline_datapoint_1 1573564210 0,000
offline_datapoint_20 1573564212 4908474368,000
offline_datapoint_7 1573564212 4969660416,000
offline_datapoint_6 1573564210 0,000
offline_datapoint_12 1573564210 2,364
offline_datapoint_24 1573564210 1,432
offline_datapoint_13 1573564210 4804,393
offline_datapoint_18 1573564212 0,000
offline_datapoint_0 1573564210 5483,307
offline_datapoint_16 1573564210 58,993
offline_datapoint_28 1573564210 0,126
offline_datapoint_17 1573564210 3,999
offline_datapoint_10 1573564210 99,786
offline_datapoint_29 1573564210 0,000
offline_datapoint_22 1573564210 11434,667
offline_datapoint_4 1573564210 0,001
offline_datapoint_11 1573564215 158944,000
offline_datapoint_5 1573564215 2340,000
offline_datapoint_26 1573564215 255442944,000
offline_datapoint_14 1573564215 248410112,000
offline_datapoint_3 1573564215 8828317696,000
offline_datapoint_9 1573564215 97873920,000
offline_datapoint_25 1573564215 1845,000
offline_datapoint_19 1573564213 0,333
offline_datapoint_8 1573564213 4511,669
offline_datapoint_21 1573564215 97873920,000
offline_datapoint_1 1573564213 0,333
offline_datapoint_20 1573564215 4909924352,000
offline_datapoint_7 1573564215 4971012096,000
offline_datapoint_6 1573564213 0,130
offline_datapoint_12 1573564213 4,313
offline_datapoint_24 1573564213 2,083
offline_datapoint_13 1573564213 5092,541
offline_datapoint_18 1573564215 0,000
offline_datapoint_0 1573564213 6382,256
offline_datapoint_16 1573564213 356,255
offline_datapoint_28 1573564213 0,291
offline_datapoint_17 1573564213 13,664
offline_datapoint_10 1573564213 99,533
offline_datapoint_29 1573564213 0,000
offline_datapoint_22 1573564213 8978,732
offline_datapoint_4 1573564213 0,003
offline_datapoint_11 1573564218 158944,000
offline_datapoint_5 1573564218 2340,000
offline_datapoint_26 1573564218 255524864,000
offline_datapoint_14 1573564218 248737792,000
offline_datapoint_3 1573564218 8864845824,000
offline_datapoint_9 1573564218 97529856,000
offline_datapoint_25 1573564218 1791,000
offline_datapoint_19 1573564216 6,329
offline_datapoint_8 1573564216 10911,600
offline_datapoint_21 1573564218 97529856,000
offline_datapoint_1 1573564216 0,999
offline_datapoint_20 1573564218 4936339456,000
offline_datapoint_7 1573564218 5010657280,000
offline_datapoint_6 1573564216 0,130
offline_datapoint_12 1573564216 9,438
offline_datapoint_24 1573564216 4,944
offline_datapoint_13 1573564216 6891,905
offline_datapoint_18 1573564218 0,000
offline_datapoint_0 1573564216 9644,203
offline_datapoint_16 1573564216 103,257
offline_datapoint_28 1573564216 0,172
offline_datapoint_17 1573564216 4,996
