100 1573564229 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564230 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564231 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564232 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564233 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564234 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564235 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564236 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564237 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564238 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564239 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564240 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564241 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564242 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564243 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564244 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564245 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564246 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564247 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564248 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564249 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564250 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564251 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564252 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564253 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564259 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564260 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564261 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564262 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564263 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564264 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564265 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564266 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564267 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564268 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564269 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564270 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564271 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564272 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564273 0,800000 -1,000000 -101,000000 0,000000 0,000000
100 1573564274 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564275 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564276 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564277 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564278 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564279 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564280 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564281 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564282 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564283 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564284 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564285 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564286 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564287 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564288 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564289 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564290 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564291 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564292 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564293 1,000000 -1,000000 -101,000000 0,000000 0,000000
100 1573564294 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564295 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564296 1,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564297 1,200000 -1,000000 -101,000000 0,000000 0,000000
